City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
276,Bartica,GY,80.6,broken clouds,6.4,-58.6167,Relax Inn Hotel
278,Salalah,OM,73.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
283,Soyo,AO,81.5,overcast clouds,-6.1349,12.3689,Hotel Mpampa
284,Sinnamary,GF,80.24,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
287,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
295,Pitimbu,BR,87.8,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
298,Juruti,BR,89.83,light rain,-2.1522,-56.0922,Hotel Acauã - ORLA
300,Bage,BR,87.8,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
305,Chuy,UY,84.74,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
309,Panaba,MX,77.65,few clouds,21.2833,-88.2667,Hotel Don Fernando
315,Lobito,AO,79.09,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
316,Ballina,AU,71.6,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
322,Bumba,CD,81.93,scattered clouds,2.1833,22.4667,Hôtel Cape Town
323,Ewo,CG,75.11,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
331,Ponnani,IN,80.6,haze,10.767,75.9252,Rouba Residency
337,Kakamega,KE,71.6,broken clouds,0.2842,34.7523,Amazon Bed & Breakfast
343,Ambilobe,MG,75.92,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
344,Viedma,AR,75,broken clouds,-40.8135,-62.9967,Hotel Cristal
345,Sao+Felix+Do+Xingu,BR,89.2,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
349,Trincomalee,LK,79.34,broken clouds,8.5711,81.2335,Welcombe Hotel
352,Mata+Grande,BR,86.16,overcast clouds,-9.1175,-37.7322,Hotel Casarão
355,Athni,IN,74.05,few clouds,16.7333,75.0667,Basawasri Lodge
359,Richards+Bay,ZA,77.79,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
365,Arlit,NE,77.68,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
372,Carmo+Do+Rio+Claro,BR,84.27,overcast clouds,-20.9719,-46.1189,Varandas da Montanha Hotel
375,Padang,ID,78.13,overcast clouds,-0.9492,100.3543,Mercure Padang
377,Aguada+De+Pasajeros,CU,77,moderate rain,22.385,-80.8508,Soles de Marti
378,Palmas,BR,84.2,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
380,Teabo,MX,79.18,overcast clouds,20.4,-89.2833,Comité Directivo Municipal del PAN de Teabo
384,Bajil,YE,75.38,broken clouds,15.0584,43.2851,شبكة ماكس نت MAX WIFI
386,Eyl,SO,73.94,few clouds,7.9803,49.8164,Amiin Hotel
387,Houma,US,70,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
391,Ambanja,MG,77.38,light rain,-13.6833,48.45,Hotel Salama and Fast Food
