City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
293,Mattru,SL,80.56,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
295,Pisco,PE,80.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
296,Omboue,GA,77.85,light rain,-1.5746,9.2618,Hotel Olako
300,Grand-Santi,GF,80.13,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
303,Chiredzi,ZW,74.79,broken clouds,-21.05,31.6667,The Nesbitt Arms
304,Sao+Felix+Do+Xingu,BR,81.19,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
305,Praia,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
308,Tapes,BR,81.23,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
309,Vila+Velha,BR,82.4,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
312,Biltine,TD,73.42,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
317,Malindi,KE,77.54,clear sky,-3.2175,40.1191,African House Resort
326,Tshela,CD,73.04,overcast clouds,-4.9833,12.9333,Hotel Mirador
327,Nueva+Guinea,NI,82.26,scattered clouds,11.6876,-84.4562,Posadita La Reyna
331,Sal+Rei,CV,75.2,clear sky,16.1833,-22.9167,Marine Club Beach Resort
332,San+Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
333,Paita,PE,87.8,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
336,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
338,Sao+Miguel+Do+Araguaia,BR,86.0,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
342,Ikorodu,NG,71.6,haze,6.6191,3.5041,Royal Kaft Hotel & Suites
344,El+Tocuyo,VE,85.32,clear sky,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
345,San+Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
349,Sainte-Marie,RE,80.6,scattered clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
352,Salinopolis,BR,79.99,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
354,Clearwater,US,72.0,overcast clouds,27.9659,-82.8001,Shephard's Beach Resort
357,Imbituba,BR,82.4,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
360,Maldonado,UY,71.01,heavy intensity rain,-34.6667,-54.9167,La Cimarrona
365,Petit+Goave,HT,86.0,scattered clouds,18.4314,-72.8669,Imperial Suite International
369,Gaoual,GN,82.96,clear sky,11.75,-13.2,Hotel koliba
370,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
375,Manicore,BR,80.6,clear sky,-5.8092,-61.3003,Hotel Durval
378,Axim,GH,80.2,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
381,San+Carlos+De+Bariloche,AR,77.0,broken clouds,-41.1456,-71.3082,Hotel Patagonia
391,Hambantota,LK,77.25,overcast clouds,6.1241,81.1185,Bungalow 63
392,Curaca,BR,82.56,overcast clouds,-8.9903,-39.9094,Curaca
393,Bentiu,SS,76.44,clear sky,9.2333,29.8333,Mandela hôtel
395,Rosa+Zarate,EC,81.79,moderate rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
398,Pemba,MZ,82.0,broken clouds,-12.974,40.5178,Guesthouse Samotina
400,Richards+Bay,ZA,74.5,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
404,Cabedelo,BR,82.4,few clouds,-6.9811,-34.8339,Hotel Pigalle
405,Cangucu,BR,80.6,overcast clouds,-31.395,-52.6756,Casa Paulista
407,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
413,Sao+Manuel,BR,87.8,heavy intensity rain,-22.7311,-48.5706,Zeminian & Zeminian Ltda
415,Carauari,BR,88.25,broken clouds,-4.8828,-66.8958,Hotel Fellip
417,Ponnani,IN,78.8,haze,10.767000000000001,75.9252,Rouba Residency
418,Djenne,ML,78.24,clear sky,13.9061,-4.5533,Hôtel Chez Baba
420,Pauini,BR,87.42,heavy intensity rain,-7.7136,-66.9764,Casa do Kiwliks
422,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
423,Angoche,MZ,80.15,light rain,-16.2325,39.9086,Guest House HESADA
428,Manga,BF,80.15,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
