City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
254,Novoorsk,51.381,58.9813,12.2,79,75,2.24,RU,broken clouds
255,Key+West,24.5557,-81.7826,75.0,60,40,10.36,US,scattered clouds
256,Adrar,20.5022,-10.0711,84.4,13,31,11.59,MR,scattered clouds
257,Yataity,-26.3667,-56.0667,79.84,83,93,7.76,PY,overcast clouds
258,Watertown,42.3709,-71.1828,19.99,45,1,12.66,US,clear sky
259,Natal,-5.795,-35.2094,87.8,62,40,18.41,BR,scattered clouds
260,El+Vigia,8.6219,-71.6506,84.07,57,10,5.44,VE,clear sky
261,Vilhena,-12.7406,-60.1458,83.03,60,100,3.53,BR,overcast clouds
262,Saint-Louis,16.3333,-15.0,98.6,10,0,2.3,SN,clear sky
263,Miranda,3.2499,-76.2281,86.0,54,40,2.3,CO,scattered clouds
264,Otta,61.7712,9.5353,13.53,86,0,5.23,NO,clear sky
265,Katakwi,1.8911,33.9661,84.36,26,98,8.68,UG,overcast clouds
266,Oistins,13.0667,-59.5333,84.2,61,40,14.97,BB,scattered clouds
267,Aksarka,66.5606,67.7975,-21.77,85,100,10.2,RU,overcast clouds
268,Evansville,37.9748,-87.5558,42.01,56,90,6.91,US,light rain
269,Kumluca,36.3703,30.2869,57.92,74,100,15.99,TR,light rain
270,Ornskoldsvik,63.2909,18.7153,14.0,85,90,10.36,SE,overcast clouds
271,Velika+Obarska,44.8053,19.1642,48.99,69,21,1.01,BA,few clouds
272,Umba,66.6871,34.3429,11.77,96,100,8.32,RU,light snow
273,Synya,65.3718,58.0387,-3.64,90,100,7.31,RU,overcast clouds
274,Rudraprayag,30.2833,78.9833,47.97,45,0,3.02,IN,clear sky
275,Marsh+Harbour,26.5412,-77.0636,65.62,60,53,11.56,BS,broken clouds
276,Bartica,6.4,-58.6167,80.6,94,75,13.8,GY,broken clouds
277,Kaliua,-5.0606,31.7936,69.66,87,97,1.14,TZ,light rain
278,Salalah,17.0151,54.0924,73.4,56,20,3.44,OM,few clouds
279,Athens,37.9795,23.7162,59.0,62,20,9.24,GR,few clouds
280,Coquimbo,-29.9533,-71.3436,68.0,73,20,14.97,CL,few clouds
281,Lagoa,39.05,-27.9833,62.37,90,8,31.09,PT,clear sky
282,Limanowa,49.7059,20.422,30.99,68,96,3.0,PL,light snow
283,Soyo,-6.1349,12.3689,81.5,80,98,9.73,AO,overcast clouds
284,Sinnamary,5.3833,-52.95,80.24,86,90,14.99,GF,light rain
285,Ancud,-41.8697,-73.8203,66.2,48,0,6.91,CL,clear sky
286,Jalu,29.0331,21.5482,66.79,34,0,9.75,LY,clear sky
287,Cayenne,4.9333,-52.3333,80.6,89,75,10.36,GF,broken clouds
288,Capaci,38.1711,13.2393,64.0,67,0,12.66,IT,clear sky
289,Hofn,64.2539,-15.2082,23.27,87,95,21.21,IS,overcast clouds
290,Ustka,54.5805,16.8619,29.64,89,85,11.63,PL,overcast clouds
291,Los+Llanos+De+Aridane,28.6585,-17.9182,66.2,72,75,16.11,ES,broken clouds
292,Letterkenny,54.95,-7.7333,41.0,70,75,16.11,IE,broken clouds
293,Ponta+Delgada,37.7333,-25.6667,64.99,94,40,16.11,PT,scattered clouds
294,Rawson,-43.3002,-65.1023,66.22,40,0,15.64,AR,clear sky
295,Pitimbu,-7.4706,-34.8086,87.8,58,40,14.97,BR,scattered clouds
296,Marzuq,14.4,46.4667,64.18,66,0,5.64,YE,clear sky
297,Dergachi,51.2328,48.7659,25.72,96,92,10.74,RU,overcast clouds
298,Juruti,-2.1522,-56.0922,89.83,53,11,5.14,BR,light rain
299,Tonstad,58.6626,6.7169,35.01,92,20,6.76,NO,few clouds
300,Bage,-31.3314,-54.1069,87.8,55,0,3.44,BR,clear sky
301,Uyuni,-20.4597,-66.825,60.22,28,0,10.07,BO,clear sky
302,Priekule,56.4468,21.5897,32.0,69,90,10.36,LV,overcast clouds
303,Jagdalpur,19.0667,82.0333,68.09,45,44,4.47,IN,scattered clouds
304,Starobaltachevo,56.0013,55.9213,25.77,98,100,10.87,RU,overcast clouds
305,Chuy,-33.6971,-53.4616,84.74,48,7,11.48,UY,clear sky
306,Scarborough,54.2797,-0.4044,37.0,75,100,5.01,GB,overcast clouds
307,Dolny+Kubin,49.2098,19.3034,30.0,87,100,5.01,SK,overcast clouds
308,Yar-Sale,66.8333,70.8333,-25.02,86,100,15.86,RU,light snow
309,Panaba,21.2833,-88.2667,77.65,60,21,12.12,MX,few clouds
310,Charleston,32.7766,-79.9309,54.0,50,1,11.5,US,clear sky
311,San+Rafael,-34.6177,-68.3301,65.93,57,88,4.99,AR,overcast clouds
312,Talcahuano,-36.7167,-73.1167,66.2,82,75,1.14,CL,broken clouds
