City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
36,Chapada Dos Guimaraes,BR,2021-01-30 03:33:02,-15.4606,-55.7497,78.8,78,75,9.22
37,Clarence Town,AU,2021-01-30 03:33:02,-32.5833,151.7833,87.01,69,100,8.05
38,Pindiga,NG,2021-01-30 03:33:03,9.9833,10.9333,66.36,24,0,10.78
39,Saldanha,ZA,2021-01-30 03:33:03,-33.0117,17.9442,65.53,80,60,10.8
40,Abha,SA,2021-01-30 03:33:03,18.2164,42.5053,51.8,34,0,1.3
41,Ribeira Grande,PT,2021-01-30 03:33:03,38.5167,-28.7,61.41,83,94,24.92
42,Castro,BR,2021-01-30 03:33:03,-24.7911,-50.0119,62.58,95,100,3.09
43,Vestmannaeyjar,IS,2021-01-30 03:33:03,63.4427,-20.2734,35.22,82,100,7.9
44,Faya,SA,2021-01-30 03:33:03,18.3851,42.4509,51.8,34,0,0.74
45,Nanortalik,GL,2021-01-30 03:33:04,60.1432,-45.2371,31.86,92,97,8.52
46,Ust-Kulom,RU,2021-01-30 03:33:04,61.6864,53.6902,17.13,96,100,11.97
47,Shelburne,CA,2021-01-30 03:33:04,44.0787,-80.2041,19.4,79,90,2.3
48,Beyneu,KZ,2021-01-30 03:33:04,45.3167,55.2,31.53,97,39,4.79
49,Caarapo,BR,2021-01-30 03:33:04,-22.6342,-54.8222,70.09,97,100,5.17
50,Necochea,AR,2021-01-30 03:33:04,-38.5473,-58.7368,64.99,78,58,4.0
51,Coquimbo,CL,2021-01-30 03:33:04,-29.9533,-71.3436,62.6,82,20,5.75
52,Upernavik,GL,2021-01-30 03:33:05,72.7868,-56.1549,-8.82,83,0,10.2
53,Mahebourg,MU,2021-01-30 03:33:05,-20.4081,57.7,78.8,89,40,8.05
54,Sehwan,PK,2021-01-30 03:33:05,26.4279,67.863,48.2,71,0,2.3
55,Gari,RU,2021-01-30 03:33:05,59.4307,62.3497,-4.02,92,100,8.37
56,Coihaique,CL,2021-01-30 03:33:05,-45.5752,-72.0662,44.6,81,0,2.3
57,Epe,NG,2021-01-30 03:33:05,6.5841,3.9834,77.18,92,100,3.47
58,Nouadhibou,MR,2021-01-30 03:33:05,20.931,-17.0347,66.2,59,32,14.97
59,Gunjur,GM,2021-01-30 03:33:06,13.2019,-16.7339,66.2,72,0,3.44
60,Ambanja,MG,2021-01-30 03:33:06,-13.6833,48.45,73.4,87,75,2.3
61,Saint George,US,2021-01-30 03:29:11,37.1041,-113.5841,37.99,93,90,8.05
62,Hambantota,LK,2021-01-30 03:33:06,6.1241,81.1185,80.6,89,20,9.22
63,Grindavik,IS,2021-01-30 03:33:06,63.8424,-22.4338,33.8,86,75,4.61
64,La Fria,VE,2021-01-30 03:33:06,8.2203,-72.2439,74.21,73,69,2.3
65,Awbari,LY,2021-01-30 03:33:06,26.5921,12.7805,48.24,63,0,3.8
66,Aasiaat,GL,2021-01-30 03:33:07,68.7098,-52.8699,-0.9,89,0,3.29
67,Umm Lajj,SA,2021-01-30 03:33:07,25.0213,37.2685,62.26,50,0,10.51
68,Ajdabiya,LY,2021-01-30 03:33:07,30.7554,20.2263,57.27,67,0,10.69
69,Strezhevoy,RU,2021-01-30 03:33:07,60.7333,77.5889,-43.6,73,0,2.24
70,Puerto Del Rosario,ES,2021-01-30 03:33:07,28.5004,-13.8627,62.6,88,0,11.5
71,Bubaque,GW,2021-01-30 03:33:07,11.2833,-15.8333,78.24,65,0,9.66
72,Adrar,MR,2021-01-30 03:33:07,20.5022,-10.0711,61.43,28,0,10.38
73,Mayma,RU,2021-01-30 03:33:07,52.0197,85.9114,23.97,96,100,3.67
74,Kyenjojo,UG,2021-01-30 03:33:08,0.6328,30.6214,64.0,58,42,0.36
75,Methoni,GR,2021-01-30 03:33:08,36.8197,21.7049,55.99,86,100,4.61
76,Dvinskoy,RU,2021-01-30 03:33:08,62.1535,45.1175,19.04,97,100,7.14
77,Namibe,AO,2021-01-30 03:33:08,-15.1961,12.1522,73.29,78,99,7.99
78,Chanika,TZ,2021-01-30 03:33:08,-5.4167,38.0167,68.31,97,99,1.23
79,Berlevag,NO,2021-01-30 03:33:08,70.8578,29.0864,25.7,96,100,19.19
